Buchungs_ID;Personen_FS;Land_FS;Ankunft;Abreise
640;1414;198;2019-06-17 00:00:00;2019-06-18 00:00:00
641;1423;191;2019-05-27 00:00:00;2019-05-28 00:00:00
642;1427;198;2019-06-16 00:00:00;2019-06-17 00:00:00
643;1428;115;2019-06-29 00:00:00;2019-07-01 00:00:00
644;1429;115;2019-07-21 00:00:00;2019-07-22 00:00:00
645;1430;115;2019-08-05 00:00:00;2019-08-06 00:00:00
646;423;221;2019-05-30 00:00:00;2019-06-02 00:00:00
647;1432;198;2019-07-15 00:00:00;2019-07-16 00:00:00
648;423;0;2019-06-03 00:00:00;2019-06-05 00:00:00
649;1436;0;2019-06-10 00:00:00;2019-06-11 00:00:00
650;1436;0;1000-01-01 00:00:00;1000-01-01 00:00:00
651;1440;0;2019-06-10 00:00:00;2019-06-11 00:00:00
652;1443;115;2019-08-25 00:00:00;2019-08-26 00:00:00
653;1444;115;2019-07-10 00:00:00;2019-07-20 00:00:00
654;1445;198;2019-09-14 00:00:00;2019-09-17 00:00:00
655;1446;114;2019-10-16 00:00:00;2019-10-17 00:00:00
656;1450;0;2019-06-21 00:00:00;2019-06-22 00:00:00
657;1396;0;1000-01-01 00:00:00;1000-01-01 00:00:00
658;423;0;2019-06-23 00:00:00;2019-06-24 00:00:00
659;423;0;1000-01-01 00:00:00;1000-01-01 00:00:00
660;1456;115;2019-10-25 00:00:00;2019-10-29 00:00:00
661;1462;0;2019-06-25 00:00:00;2019-06-26 00:00:00
662;1462;0;1000-01-01 00:00:00;1000-01-01 00:00:00
667;1466;0;2019-06-29 00:00:00;2019-06-30 00:00:00
668;1466;0;1000-01-01 00:00:00;1000-01-01 00:00:00
669;1472;178;2019-09-29 00:00:00;2019-09-30 00:00:00
670;1474;198;2019-09-18 00:00:00;2019-09-19 00:00:00
671;1479;0;1000-01-01 00:00:00;1000-01-01 00:00:00
672;1479;0;1000-01-01 00:00:00;1000-01-01 00:00:00
673;1480;0;2019-07-07 00:00:00;2019-07-09 00:00:00
674;1501;197;2019-08-02 00:00:00;2019-08-03 00:00:00
675;1509;171;2019-10-01 00:00:00;2019-10-02 00:00:00
676;1511;198;2019-09-09 00:00:00;2019-09-10 00:00:00
677;423;115;2019-08-03 00:00:00;2019-08-04 00:00:00
678;1514;0;2019-08-04 00:00:00;2019-08-05 00:00:00
679;1514;0;1000-01-01 00:00:00;1000-01-01 00:00:00
680;1514;0;1000-01-01 00:00:00;1000-01-01 00:00:00
681;1514;0;1000-01-01 00:00:00;1000-01-01 00:00:00
682;1519;0;2019-08-29 00:00:00;2019-09-01 00:00:00
683;1520;115;2019-09-18 00:00:00;2019-09-19 00:00:00
684;1525;198;2019-09-16 00:00:00;2019-09-19 00:00:00
685;1526;115;2019-10-28 00:00:00;2019-10-31 00:00:00
686;1540;0;2019-08-26 00:00:00;2019-08-27 00:00:00
687;1540;0;1000-01-01 00:00:00;1000-01-01 00:00:00
688;1541;198;2019-11-06 00:00:00;2019-11-07 00:00:00
689;1542;0;2019-08-29 00:00:00;2019-08-30 00:00:00
690;1552;198;2019-09-27 00:00:00;2019-09-29 00:00:00
691;1512;0;2019-09-06 00:00:00;2019-09-07 00:00:00
692;1560;178;2019-09-16 00:00:00;2019-09-20 00:00:00
693;1565;123;2019-10-28 00:00:00;2019-10-29 00:00:00
